"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"CondiserEnemyPosition","0","0","87554","1082709","891986","86","4","0","0","0","0","76","38","64","4"
"ConsiderSelfOnly","0","0","8254","83916","64117","-30","4","0","0","0","0","55","9","37","3"
"CondiserEnemyPosition","0","0","95189","1306006","1105613","92","4","0","0","0","0","75","40","64","5"
"ConsiderSelfOnly","0","0","2180","20009","14674","-36","4","0","0","0","0","60","2","30","2"
"CondiserEnemyPosition","0","0","88365","1208646","1021637","86","4","0","0","0","0","73","38","65","5"
"ConsiderSelfOnly","0","0","4922","65249","54025","-28","4","0","0","0","0","67","7","22","5"
"CondiserEnemyPosition","0","0","90843","1059073","853390","102","4","0","0","0","0","77","38","67","4"
"ConsiderSelfOnly","0","0","2892","33235","26304","-36","4","0","0","0","0","56","4","24","3"
"CondiserEnemyPosition","0","0","48853","638014","529152","102","4","0","0","0","0","73","22","64","4"
"ConsiderSelfOnly","0","0","9559","106937","82825","-44","4","0","0","0","0","52","14","31","3"
"CondiserEnemyPosition","0","0","16909","230913","194208","62","4","0","0","0","0","73","9","53","5"
"ConsiderSelfOnly","0","0","9652","104726","80952","-36","4","0","0","0","0","55","12","32","3"
"CondiserEnemyPosition","0","0","31849","471208","394719","100","4","0","0","0","0","67","23","48","5"
"ConsiderSelfOnly","0","0","3338","42994","35279","-74","4","0","0","0","0","64","5","19","4"
"CondiserEnemyPosition","0","0","23125","354774","305566","60","4","0","0","0","0","67","15","47","6"
"ConsiderSelfOnly","0","0","21733","221788","168905","-14","4","0","0","0","0","68","22","33","3"
"CondiserEnemyPosition","0","0","44769","603803","507436","86","4","0","0","0","0","70","21","64","5"
"ConsiderSelfOnly","0","0","13736","157227","124195","-28","4","0","0","0","0","55","18","30","3"
"CondiserEnemyPosition","0","0","73524","1002111","841319","100","4","0","0","0","0","74","32","65","5"
"ConsiderSelfOnly","0","0","12370","137382","107849","-34","4","0","0","0","0","60","16","29","3"
"CondiserEnemyPosition","0","0","65332","929064","789153","92","4","0","0","0","0","70","30","63","5"
"ConsiderSelfOnly","0","0","14558","175389","140833","-34","4","0","0","0","0","63","18","28","4"
"CondiserEnemyPosition","0","0","85894","1008851","813693","116","4","0","0","0","0","77","39","63","4"
"ConsiderSelfOnly","0","0","2869","31710","24995","-50","4","0","0","0","0","50","4","25","3"
"CondiserEnemyPosition","0","0","52262","649043","532744","94","4","0","0","0","0","73","24","63","4"
"ConsiderSelfOnly","0","0","2641","25173","18820","-36","4","0","0","0","0","58","3","32","3"
